Station,StdAggComposite,StdAggNina,StdAggNino,StdAggNeutral
21195120,0.54988672467409,0.6781337921820665,0.5526661261855367,0.4686342015188124
21195190,0.6573100416422863,0.7655406712832009,0.5313493892352235,0.6564387932568702
21205160,1.2590857081150386,1.3299738241939887,1.8237594260004115,0.7854540102792225
21205230,0.503737044048399,0.6637217665882058,0.5143962376755146,0.38074042247837786
21205420,0.4522362469188435,0.5312256544340878,0.3978477694472041,0.429286717208566
21205520,0.6432204871842216,0.7146973109515335,0.6874281505319716,0.5919627184208361
21205660,1.2225361033562898,0.7283554947614846,1.6323287494506304,1.257469962446536
21205710,0.5133252363025881,0.508975784708994,0.6297185748189736,0.4501578086306067
21205720,0.7931837152701127,0.9111335581442516,0.8681817408743593,0.6628017587148609
21205740,1.023973743409147,0.7945754270167178,0.8347912254511058,1.2487284442186657
21205791,0.6927575005413507,0.9055916858866985,0.5963068304158461,0.6009322293072802
21205940,0.6397711957947956,0.7507860290018892,0.5414995675472544,0.6158994627471592
21205980,0.8945178929985403,1.0875234885446248,0.7506000877587672,0.8597843052580534
21206050,0.6325832196892698,0.6928736195232865,0.59973592717685,0.6258521505694258
21206180,0.37214202058778756,0.349248392676652,0.48412569824894014,0.33552992059147657
21206260,0.6964860255383192,0.9445702882367562,0.639317341689122,0.541322843567283
21206560,0.6513042404705183,0.5901892239658044,0.9072803881707626,0.5418572371836798
21206600,0.7203392665799605,0.9391317589984786,0.590541002641384,0.6385800378284142
21206650,0.6483967149361779,0.8627088552227921,0.23889407827186931,0.6454381582096207
21206690,0.7643609989490077,0.7895007708571737,0.9763063944506754,0.6103420969920844
21235010,0.5060885216792658,0.48785380290607305,0.7435807216952964,0.33779684330308796
23065060,0.3195006456251035,0.26425165741513545,0.25604370667732135,0.3907947871719252
23065100,0.3608532166435075,0.4081024634060303,0.3490629153529161,0.3331004349301538
23125070,0.5610760492647946,0.723805102323981,0.6735221171322284,0.2401285740448887
35025050,1.1758007824090666,1.5320240013296653,1.2840364586873356,0.8458379260058003
